,id,bang,2015,2016,2017,2018,2019,2020
84,7,ঘারমোড়া,0.0,0.0,0.0,0.0,0.0,0.0
85,7,জয়পুর,0.0,0.0,1.0,4.0,4.0,0.0
86,7,দুলালপুর,0.0,0.0,0.0,0.0,0.0,0.0
87,8,বাকই,1.0,0.0,0.0,2.0,46.0,0.0
88,8,মুদাফফর গঞ্জ,0.0,0.0,0.0,0.0,0.0,0.0
89,8,কান্দিরপাড়,0.0,0.0,0.0,1.0,1.0,0.0
90,8,গোবিন্দপুর,2.0,0.0,0.0,1.0,6.0,0.0
91,8,উত্তরদা,0.0,0.0,0.0,0.0,0.0,0.0
92,8,লাকসাম পুর্ব,0.0,0.0,0.0,0.0,0.0,0.0
93,8,আজগরা,0.0,0.0,0.0,1.0,145.0,0.0
94,9,শ্রীকাইল,0.0,0.0,0.0,0.0,0.0,0.0
95,9,আকুবপুর,0.0,0.0,0.0,0.0,0.0,0.0
96,9,আন্দিকোট,0.0,0.0,0.0,0.0,0.0,0.0
97,9,পুর্বধৈইর (পুর্ব),0.0,0.0,0.0,0.0,0.0,0.0
98,9,পুর্বধৈইর (পশ্চিম),0.0,0.0,0.0,0.0,0.0,0.0
99,9,বাঙ্গরা (পূর্ব),0.0,0.0,0.0,0.0,0.0,0.0
100,9,বাঙ্গরা (পশ্চিম),0.0,0.0,0.0,0.0,0.0,0.0
101,9,চাপিতলা,0.0,0.0,0.0,0.0,0.0,0.0
102,9,কামাল্লা,0.0,0.0,0.0,0.0,0.0,0.0
103,9,যাত্রাপুর,0.0,0.0,0.0,0.0,7.0,0.0
104,9,রামচন্দ্রপুর (উত্তর),0.0,0.0,1.0,0.0,0.0,0.0
105,9,রামচন্দ্রপুর (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
106,9,মুরাদনগর সদর,0.0,0.0,0.0,0.0,5.0,0.0
107,9,নবীপুর (পুর্ব),0.0,0.0,0.0,0.0,0.0,0.0
108,9,নবীপুর (পশ্চিম),0.0,0.0,0.0,0.0,0.0,0.0
109,9,ধামঘর,0.0,0.0,0.0,0.0,1.0,0.0
110,9,জাহাপুর,0.0,0.0,0.0,0.0,1.0,0.0
111,9,ছালিয়াকান্দি,0.0,0.0,0.0,0.0,0.0,0.0
112,9,দারোরা,0.0,0.0,0.0,0.0,0.0,0.0
113,9,পাহাড়পুর,1.0,0.0,1.0,0.0,3.0,0.0
114,9,বাবুটিপাড়া,0.0,0.0,0.0,0.0,0.0,0.0
115,9,টনকী,2.0,0.0,7.0,4.0,55.0,0.0
116,10,বাঙ্গড্ডা,0.0,0.0,0.0,0.0,0.0,0.0
117,10,পেরিয়া,0.0,0.0,0.0,0.0,2.0,0.0
118,10,রায়কোট,0.0,0.0,0.0,0.0,0.0,0.0
119,10,মোকরা,0.0,0.0,1.0,1.0,1.0,0.0
120,10,মক্রবপুর,0.0,0.0,0.0,0.0,0.0,0.0
121,10,হেসাখাল,0.0,0.0,0.0,0.0,0.0,0.0
122,10,আদ্রা,0.0,0.0,1.0,1.0,15.0,0.0
123,10,জোড্ডা,0.0,0.0,0.0,0.0,0.0,0.0
124,10,ঢালুয়া,0.0,0.0,0.0,0.0,5.0,0.0
125,10,দৌলখাঁড়,0.0,0.0,0.0,0.0,0.0,0.0
126,10,বক্সগঞ্জ,0.0,0.0,0.0,0.0,0.0,0.0
127,10,সাতবাড়ীয়া,0.0,0.0,0.0,0.0,0.0,0.0
128,11,কালীর বাজার,0.0,0.0,0.0,0.0,5.0,0.0
129,11,উত্তর দুর্গাপুর,0.0,0.0,0.0,10.0,5.0,0.0
130,11,দক্ষিন দুর্গাপুর,0.0,0.0,0.0,0.0,0.0,0.0
131,11,আমড়াতলী,0.0,0.0,0.0,0.0,1.0,0.0
132,11,পাঁচথুবী,0.0,0.0,0.0,0.0,2.0,0.0
133,11,জগন্নাথপুর,0.0,0.0,1.0,0.0,7.0,0.0
134,12,চন্দনপুর,0.0,0.0,0.0,1.0,0.0,0.0
135,12,চালিভাঙ্গা,0.0,0.0,0.0,0.0,1.0,0.0
