,Unnamed: 0,id,bang,2015,2016,2017,2018,2019,2020
66,66,দাউদকান্দি,দক্ষিন ইলিয়টগঞ্জ,0.0,0.0,0.0,0.0,0.0,0.0
67,67,দাউদকান্দি,জিংলাতলী,0.0,0.0,0.0,0.0,0.0,0.0
68,68,দাউদকান্দি,সুন্দলপুর,0.0,0.0,0.0,0.0,0.0,0.0
69,69,দাউদকান্দি,গৌরীপুর,0.0,0.0,0.0,35.0,25.0,2.0
70,70,দাউদকান্দি,পুর্ব মোহাম্মদপুর,0.0,0.0,0.0,0.0,3.0,0.0
71,71,দাউদকান্দি,পশ্চিম মোহাম্মদপুর,0.0,0.0,1.0,0.0,17.0,4.0
72,72,দাউদকান্দি,গোয়ালমারী,0.0,0.0,0.0,0.0,2.0,0.0
73,73,দাউদকান্দি,মারুকা,1.0,0.0,0.0,0.0,0.0,0.0
74,74,দাউদকান্দি,বিটেশ্বর,0.0,0.0,0.0,0.0,0.0,0.0
75,75,দাউদকান্দি,পদুয়া,0.0,0.0,0.0,0.0,11.0,0.0
76,76,দাউদকান্দি,পশ্চিম পাচঁগাছিয়া,0.0,0.0,0.0,0.0,0.0,0.0
77,77,দাউদকান্দি,বারপাড়া,0.0,0.0,0.0,0.0,1.0,0.0
78,78,হোমনা,মাথাভাঙ্গা,0.0,0.0,0.0,0.0,1.0,0.0
79,79,হোমনা,ঘাগুটিয়া,0.0,0.0,0.0,0.0,0.0,0.0
80,80,হোমনা,আছাদপুর,0.0,0.0,0.0,0.0,0.0,0.0
81,81,হোমনা,চান্দেরচর,0.0,0.0,0.0,0.0,0.0,0.0
82,82,হোমনা,ভাষানিয়া,0.0,0.0,0.0,0.0,0.0,0.0
83,83,হোমনা,নিলখী,0.0,0.0,0.0,1.0,2.0,0.0
84,84,হোমনা,ঘারমোড়া,0.0,0.0,0.0,0.0,0.0,0.0
85,85,হোমনা,জয়পুর,0.0,0.0,1.0,4.0,4.0,0.0
86,86,হোমনা,দুলালপুর,0.0,0.0,0.0,0.0,0.0,0.0
87,87,লাকসাম,বাকই,1.0,0.0,0.0,2.0,46.0,0.0
88,88,লাকসাম,মুদাফফর গঞ্জ,0.0,0.0,0.0,0.0,0.0,0.0
89,89,লাকসাম,কান্দিরপাড়,0.0,0.0,0.0,1.0,1.0,0.0
90,90,লাকসাম,গোবিন্দপুর,2.0,0.0,0.0,1.0,6.0,0.0
91,91,লাকসাম,উত্তরদা,0.0,0.0,0.0,0.0,0.0,0.0
92,92,লাকসাম,লাকসাম পুর্ব,0.0,0.0,0.0,0.0,0.0,0.0
93,93,লাকসাম,আজগরা,0.0,0.0,0.0,1.0,145.0,0.0
94,94,মুরাদনগর,শ্রীকাইল,0.0,0.0,0.0,0.0,0.0,0.0
95,95,মুরাদনগর,আকুবপুর,0.0,0.0,0.0,0.0,0.0,0.0
96,96,মুরাদনগর,আন্দিকোট,0.0,0.0,0.0,0.0,0.0,0.0
97,97,মুরাদনগর,পুর্বধৈইর (পুর্ব),0.0,0.0,0.0,0.0,0.0,0.0
98,98,মুরাদনগর,পুর্বধৈইর (পশ্চিম),0.0,0.0,0.0,0.0,0.0,0.0
99,99,মুরাদনগর,বাঙ্গরা (পূর্ব),0.0,0.0,0.0,0.0,0.0,0.0
100,100,মুরাদনগর,বাঙ্গরা (পশ্চিম),0.0,0.0,0.0,0.0,0.0,0.0
101,101,মুরাদনগর,চাপিতলা,0.0,0.0,0.0,0.0,0.0,0.0
102,102,মুরাদনগর,কামাল্লা,0.0,0.0,0.0,0.0,0.0,0.0
103,103,মুরাদনগর,যাত্রাপুর,0.0,0.0,0.0,0.0,7.0,0.0
104,104,মুরাদনগর,রামচন্দ্রপুর (উত্তর),0.0,0.0,1.0,0.0,0.0,0.0
105,105,মুরাদনগর,রামচন্দ্রপুর (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
106,106,মুরাদনগর,মুরাদনগর সদর,0.0,0.0,0.0,0.0,5.0,0.0
107,107,মুরাদনগর,নবীপুর (পুর্ব),0.0,0.0,0.0,0.0,0.0,0.0
108,108,মুরাদনগর,নবীপুর (পশ্চিম),0.0,0.0,0.0,0.0,0.0,0.0
109,109,মুরাদনগর,ধামঘর,0.0,0.0,0.0,0.0,1.0,0.0
110,110,মুরাদনগর,জাহাপুর,0.0,0.0,0.0,0.0,1.0,0.0
111,111,মুরাদনগর,ছালিয়াকান্দি,0.0,0.0,0.0,0.0,0.0,0.0
112,112,মুরাদনগর,দারোরা,0.0,0.0,0.0,0.0,0.0,0.0
113,113,মুরাদনগর,পাহাড়পুর,1.0,0.0,1.0,0.0,3.0,0.0
114,114,মুরাদনগর,বাবুটিপাড়া,0.0,0.0,0.0,0.0,0.0,0.0
115,115,মুরাদনগর,টনকী,2.0,0.0,7.0,4.0,55.0,0.0
116,116,নাঙ্গলকোট,বাঙ্গড্ডা,0.0,0.0,0.0,0.0,0.0,0.0
117,117,নাঙ্গলকোট,পেরিয়া,0.0,0.0,0.0,0.0,2.0,0.0
118,118,নাঙ্গলকোট,রায়কোট,0.0,0.0,0.0,0.0,0.0,0.0
119,119,নাঙ্গলকোট,মোকরা,0.0,0.0,1.0,1.0,1.0,0.0
120,120,নাঙ্গলকোট,মক্রবপুর,0.0,0.0,0.0,0.0,0.0,0.0
121,121,নাঙ্গলকোট,হেসাখাল,0.0,0.0,0.0,0.0,0.0,0.0
122,122,নাঙ্গলকোট,আদ্রা,0.0,0.0,1.0,1.0,15.0,0.0
123,123,নাঙ্গলকোট,জোড্ডা,0.0,0.0,0.0,0.0,0.0,0.0
124,124,নাঙ্গলকোট,ঢালুয়া,0.0,0.0,0.0,0.0,5.0,0.0
125,125,নাঙ্গলকোট,দৌলখাঁড়,0.0,0.0,0.0,0.0,0.0,0.0
126,126,নাঙ্গলকোট,বক্সগঞ্জ,0.0,0.0,0.0,0.0,0.0,0.0
127,127,নাঙ্গলকোট,সাতবাড়ীয়া,0.0,0.0,0.0,0.0,0.0,0.0
128,128,কুমিল্লা সদর,কালীর বাজার,0.0,0.0,0.0,0.0,5.0,0.0
129,129,কুমিল্লা সদর,উত্তর দুর্গাপুর,0.0,0.0,0.0,10.0,5.0,0.0
130,130,কুমিল্লা সদর,দক্ষিন দুর্গাপুর,0.0,0.0,0.0,0.0,0.0,0.0
131,131,কুমিল্লা সদর,আমড়াতলী,0.0,0.0,0.0,0.0,1.0,0.0
132,132,কুমিল্লা সদর,পাঁচথুবী,0.0,0.0,0.0,0.0,2.0,0.0
133,133,কুমিল্লা সদর,জগন্নাথপুর,0.0,0.0,1.0,0.0,7.0,0.0
134,134,মেঘনা,চন্দনপুর,0.0,0.0,0.0,1.0,0.0,0.0
135,135,মেঘনা,চালিভাঙ্গা,0.0,0.0,0.0,0.0,1.0,0.0
136,136,মেঘনা,রাধানগর,0.0,0.0,0.0,1.0,14.0,0.0
137,137,মেঘনা,মানিকারচর,0.0,0.0,0.0,0.0,0.0,0.0
138,138,মেঘনা,বড়কান্দা,0.0,0.0,0.0,0.0,1.0,0.0
139,139,মেঘনা,গোবিন্দপুর,2.0,0.0,0.0,1.0,6.0,0.0
140,140,মেঘনা,লুটেরচর,0.0,0.0,0.0,0.0,0.0,0.0
141,141,মেঘনা,ভাওরখোলা,0.0,0.0,0.0,0.0,1.0,0.0
142,142,মনোহরগঞ্জ,বাইশগাঁও,0.0,0.0,0.0,0.0,2.0,0.0
143,143,মনোহরগঞ্জ,সরসপুর,0.0,0.0,0.0,0.0,2.0,0.0
144,144,মনোহরগঞ্জ,হাসনাবাদ,0.0,0.0,0.0,0.0,3.0,0.0
145,145,মনোহরগঞ্জ,ঝলম (উত্তর),0.0,0.0,0.0,0.0,2.0,0.0
146,146,মনোহরগঞ্জ,ঝলম (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
147,147,মনোহরগঞ্জ,মৈশাতুয়া,0.0,0.0,0.0,0.0,2.0,0.0
148,148,মনোহরগঞ্জ,লক্ষনপুর,0.0,0.0,0.0,0.0,0.0,0.0
149,149,মনোহরগঞ্জ,খিলা,0.0,0.0,0.0,1.0,5.0,0.0
150,150,মনোহরগঞ্জ,উত্তর হাওলা,0.0,0.0,0.0,0.0,4.0,0.0
151,151,মনোহরগঞ্জ,নাথেরপেটুয়া,0.0,0.0,0.0,0.0,2.0,0.0
152,152,মনোহরগঞ্জ,বিপুলাসার,0.0,0.0,0.0,0.0,2.0,0.0
153,153,সদর দক্ষিণ,চৌয়ারা,0.0,0.0,0.0,0.0,0.0,0.0
154,154,সদর দক্ষিণ,বারপাড়া,0.0,0.0,0.0,0.0,1.0,0.0
155,155,সদর দক্ষিণ,জোড়কানন (পুর্ব),0.0,0.0,0.0,0.0,0.0,0.0
156,156,সদর দক্ষিণ,গলিয়ারা,0.0,0.0,0.0,0.0,0.0,0.0
157,157,সদর দক্ষিণ,জোড়কানন (পশ্চিম),0.0,0.0,0.0,0.0,0.0,0.0
158,158,সদর দক্ষিণ,বাগমারা (উত্তর),0.0,0.0,1.0,0.0,0.0,0.0
159,159,সদর দক্ষিণ,বাগমারা (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
160,160,সদর দক্ষিণ,ভূলইন (উত্তর),0.0,0.0,0.0,0.0,0.0,0.0
161,161,সদর দক্ষিণ,ভূলইন (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
162,162,সদর দক্ষিণ,বেলঘর (উত্তর),0.0,0.0,0.0,0.0,0.0,0.0
163,163,সদর দক্ষিণ,বেলঘর (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
164,164,সদর দক্ষিণ,পেরুল (উত্তর),0.0,0.0,0.0,0.0,1.0,0.0
165,165,সদর দক্ষিণ,পেরুল (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
166,166,সদর দক্ষিণ,বিজয়পুর,0.0,0.0,0.0,0.0,1.0,0.0
167,167,তিতাস,সাতানী,0.0,0.0,0.0,0.0,0.0,0.0
168,168,তিতাস,জগতপুর,0.0,0.0,0.0,0.0,1.0,0.0
169,169,তিতাস,বলরামপুর,0.0,0.0,0.0,1.0,1.0,0.0
170,170,তিতাস,কড়িকান্দি,0.0,0.0,0.0,0.0,1.0,0.0
171,171,তিতাস,কলাকান্দি,0.0,0.0,0.0,0.0,0.0,0.0
172,172,তিতাস,ভিটিকান্দি,0.0,0.0,0.0,0.0,0.0,0.0
173,173,তিতাস,নারান্দিয়া,0.0,0.0,0.0,0.0,1.0,0.0
174,174,তিতাস,জিয়ারকান্দি,0.0,0.0,0.0,0.0,0.0,0.0
175,175,তিতাস,মজিদপুর,0.0,0.0,0.0,0.0,3.0,0.0
176,176,বুড়িচং,ময়নামতি,0.0,0.0,1.0,0.0,2.0,0.0
177,177,বুড়িচং,ভারেল্লা,0.0,0.0,0.0,0.0,0.0,0.0
178,178,বুড়িচং,মোকাম,0.0,0.0,0.0,0.0,3.0,0.0
179,179,বুড়িচং,বুড়িচং সদর,0.0,0.0,0.0,34.0,2.0,0.0
180,180,বুড়িচং,বাকশীমূল,0.0,0.0,0.0,0.0,1.0,0.0
181,181,বুড়িচং,পীরযাত্রাপুর,0.0,0.0,0.0,0.0,0.0,0.0
182,182,বুড়িচং,ষোলনল,0.0,0.0,0.0,0.0,0.0,0.0
183,183,বুড়িচং,রাজাপুর,0.0,0.0,0.0,36.0,87.0,0.0
184,184,লালমাই,বাগমারা (উত্তর),0.0,0.0,1.0,0.0,0.0,0.0
185,185,লালমাই,বাগমারা (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
186,186,লালমাই,ভূলইন (উত্তর),0.0,0.0,0.0,0.0,0.0,0.0
187,187,লালমাই,ভূলইন (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
188,188,লালমাই,বেলঘর (উত্তর),0.0,0.0,0.0,0.0,0.0,0.0
189,189,লালমাই,বেলঘর (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
190,190,লালমাই,পেরুল (উত্তর),0.0,0.0,0.0,0.0,1.0,0.0
191,191,লালমাই,পেরুল (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
192,192,ছাগলনাইয়া,মহামায়া,0.0,0.0,0.0,0.0,0.0,0.0
193,193,ছাগলনাইয়া,পাঠাননগর,0.0,0.0,0.0,0.0,2.0,0.0
194,194,ছাগলনাইয়া,শুভপুর,0.0,0.0,0.0,0.0,1.0,0.0
195,195,ছাগলনাইয়া,রাধানগর,0.0,0.0,0.0,1.0,14.0,0.0
196,196,ছাগলনাইয়া,ঘোপাল,0.0,0.0,0.0,0.0,6.0,0.0
197,197,ফেনী সদর,শর্শদি,0.0,0.0,0.0,0.0,0.0,0.0
198,198,ফেনী সদর,পাঁচগাছিয়া,0.0,0.0,0.0,0.0,2.0,0.0
199,199,ফেনী সদর,ধর্মপুর,0.0,0.0,0.0,2.0,3.0,0.0
200,200,ফেনী সদর,কাজিরবাগ,0.0,0.0,0.0,0.0,2.0,0.0
201,201,ফেনী সদর,কালিদহ,0.0,0.0,0.0,0.0,0.0,0.0
202,202,ফেনী সদর,বালিগাঁও,0.0,0.0,0.0,0.0,3.0,0.0
203,203,ফেনী সদর,ধলিয়া,0.0,0.0,0.0,0.0,2.0,0.0
204,204,ফেনী সদর,লেমুয়া,0.0,0.0,0.0,0.0,3.0,0.0
205,205,ফেনী সদর,ছনুয়া,0.0,0.0,0.0,1.0,0.0,0.0
206,206,ফেনী সদর,মোটবী,0.0,0.0,0.0,0.0,0.0,0.0
207,207,ফেনী সদর,ফাজিলপুর,0.0,0.0,0.0,0.0,0.0,0.0
208,208,ফেনী সদর,ফরহাদনগর,0.0,0.0,0.0,0.0,0.0,0.0
209,209,সোনাগাজী,চরমজলিশপুর,0.0,0.0,0.0,0.0,0.0,0.0
210,210,সোনাগাজী,বগাদানা,0.0,0.0,0.0,0.0,0.0,0.0
211,211,সোনাগাজী,মতিগঞ্জ,0.0,0.0,0.0,0.0,0.0,0.0
212,212,সোনাগাজী,মঙ্গলকান্দি,0.0,0.0,0.0,0.0,0.0,0.0
213,213,সোনাগাজী,চরদরবেশ,0.0,0.0,0.0,0.0,0.0,0.0
214,214,সোনাগাজী,চরচান্দিয়া,0.0,0.0,0.0,0.0,0.0,0.0
215,215,সোনাগাজী,সোনাগাজী,0.0,0.0,0.0,1.0,15.0,0.0
216,216,সোনাগাজী,আমিরাবাদ,0.0,0.0,0.0,2.0,12.0,0.0
217,217,সোনাগাজী,নবাবপুর,0.0,0.0,9.0,1.0,17.0,0.0
218,218,ফুলগাজী,ফুলগাজী,0.0,0.0,0.0,0.0,1.0,0.0
219,219,ফুলগাজী,মুন্সিরহাট,0.0,0.0,0.0,0.0,1.0,0.0
220,220,ফুলগাজী,দরবারপুর,0.0,0.0,0.0,0.0,0.0,0.0
221,221,ফুলগাজী,আনন্দপুর,0.0,0.0,0.0,1.0,0.0,0.0
222,222,ফুলগাজী,আমজাদহাট,0.0,0.0,0.0,0.0,0.0,0.0
223,223,ফুলগাজী,"জি,এম, হাট",0.0,0.0,0.0,0.0,3.0,0.0
224,224,পরশুরাম,মির্জানগর,0.0,0.0,0.0,0.0,0.0,0.0
225,225,পরশুরাম,চিথলিয়া,0.0,0.0,0.0,0.0,3.0,0.0
226,226,পরশুরাম,বক্সমাহমুদ,0.0,0.0,0.0,0.0,0.0,0.0
227,227,দাগনভূঞা,সিন্দুরপুর,0.0,0.0,0.0,0.0,0.0,0.0
228,228,দাগনভূঞা,রাজাপুর,0.0,0.0,0.0,36.0,87.0,0.0
229,229,দাগনভূঞা,পূর্বচন্দ্রপুর,0.0,0.0,0.0,0.0,0.0,0.0
230,230,দাগনভূঞা,রামনগর,0.0,0.0,0.0,19.0,16.0,0.0
231,231,দাগনভূঞা,ইয়াকুবপুর,0.0,0.0,0.0,0.0,0.0,0.0
232,232,দাগনভূঞা,দাগনভূঞা,0.0,0.0,0.0,2.0,3.0,0.0
233,233,দাগনভূঞা,মাতুভূঞা,0.0,0.0,0.0,0.0,0.0,0.0
234,234,দাগনভূঞা,জায়লস্কর,0.0,0.0,0.0,0.0,0.0,0.0
235,235,ব্রাহ্মণবাড়িয়া সদর,বাসুদেব,0.0,0.0,0.0,1.0,16.0,0.0
236,236,ব্রাহ্মণবাড়িয়া সদর,মাছিহাতা,0.0,0.0,0.0,0.0,0.0,0.0
237,237,ব্রাহ্মণবাড়িয়া সদর,সুলতানপুর,0.0,0.0,0.0,0.0,56.0,0.0
238,238,ব্রাহ্মণবাড়িয়া সদর,রামরাইল,0.0,0.0,0.0,0.0,0.0,0.0
239,239,ব্রাহ্মণবাড়িয়া সদর,সাদেকপুর,0.0,0.0,0.0,0.0,1.0,0.0
240,240,ব্রাহ্মণবাড়িয়া সদর,তালশহর,0.0,0.0,0.0,0.0,1.0,0.0
241,241,ব্রাহ্মণবাড়িয়া সদর,নাটাই (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
242,242,ব্রাহ্মণবাড়িয়া সদর,নাটাই (উত্তর),0.0,0.0,0.0,0.0,0.0,0.0
243,243,ব্রাহ্মণবাড়িয়া সদর,সুহিলপুর,0.0,0.0,0.0,0.0,0.0,0.0
244,244,ব্রাহ্মণবাড়িয়া সদর,বুধল,0.0,0.0,0.0,0.0,0.0,0.0
245,245,ব্রাহ্মণবাড়িয়া সদর,মজলিশপুর,0.0,0.0,0.0,0.0,2.0,0.0
246,246,কসবা,মূলগ্রাম,30.0,10.0,73.0,165.0,1383.0,22.0
247,247,কসবা,মেহারী,0.0,0.0,0.0,0.0,0.0,0.0
248,248,কসবা,বাদৈর,0.0,0.0,0.0,0.0,0.0,0.0
249,249,কসবা,খাড়েরা,0.0,0.0,0.0,0.0,0.0,0.0
250,250,কসবা,বিনাউটি,0.0,0.0,0.0,0.0,0.0,0.0
251,251,কসবা,গোপীনাথপুর,0.0,0.0,0.0,0.0,3.0,0.0
252,252,কসবা,কসবা,0.0,1.0,2.0,9.0,20.0,0.0
253,253,কসবা,কুটি,0.0,0.0,0.0,0.0,5.0,0.0
254,254,কসবা,কাইমপুর,0.0,0.0,0.0,0.0,0.0,0.0
255,255,কসবা,বায়েক,0.0,0.0,0.0,0.0,1.0,0.0
256,256,নাসিরনগর,চাতলপাড়,0.0,0.0,0.0,0.0,16.0,0.0
257,257,নাসিরনগর,ভলাকুট,0.0,0.0,0.0,0.0,0.0,0.0
258,258,নাসিরনগর,কুন্ডা,0.0,0.0,0.0,0.0,7.0,0.0
259,259,নাসিরনগর,গোয়ালনগর,0.0,0.0,0.0,0.0,0.0,0.0
260,260,নাসিরনগর,নাসিরনগর,0.0,0.0,0.0,0.0,40.0,0.0
261,261,নাসিরনগর,বুড়িশ্বর,0.0,0.0,0.0,0.0,0.0,0.0
262,262,নাসিরনগর,ফান্দাউক,0.0,0.0,0.0,0.0,0.0,0.0
263,263,নাসিরনগর,গুনিয়াউক,0.0,0.0,0.0,0.0,0.0,0.0
264,264,নাসিরনগর,চাপৈরতলা,0.0,0.0,0.0,0.0,0.0,0.0
265,265,নাসিরনগর,ধরমন্ডল,0.0,0.0,0.0,0.0,0.0,0.0
266,266,নাসিরনগর,হরিপুর,0.0,0.0,0.0,2.0,26.0,0.0
267,267,নাসিরনগর,পূর্বভাগ,0.0,0.0,0.0,0.0,1.0,0.0
268,268,নাসিরনগর,গোকর্ণ,0.0,0.0,0.0,0.0,0.0,0.0
269,269,সরাইল,অরুয়াইল,0.0,0.0,0.0,0.0,0.0,0.0
270,270,সরাইল,পাকশিমুল,0.0,0.0,0.0,0.0,0.0,0.0
271,271,সরাইল,চুন্টা,0.0,0.0,0.0,0.0,0.0,0.0
272,272,সরাইল,কালীকচ্ছ,0.0,0.0,0.0,0.0,0.0,0.0
273,273,সরাইল,পানিশ্বর,0.0,0.0,0.0,0.0,0.0,0.0
274,274,সরাইল,সরাইল সদর,0.0,0.0,0.0,1.0,7.0,0.0
275,275,সরাইল,নোয়াগাঁও,0.0,0.0,0.0,0.0,2.0,0.0
