serial,id,division,district,upazilaBangla,2019,2020
352,353,ঢাকা,কিশোরগঞ্জ,করিমগঞ্জ,16.0,0.0
353,354,ঢাকা,কিশোরগঞ্জ,বাজিতপুর,41.0,0.0
354,355,ঢাকা,কিশোরগঞ্জ,অষ্টগ্রাম,2.0,0.0
355,356,ঢাকা,কিশোরগঞ্জ,মিঠামইন,44.0,0.0
356,357,ঢাকা,কিশোরগঞ্জ,নিকলী,10.0,0.0
357,358,ঢাকা,মানিকগঞ্জ,হরিরামপুর,12.0,0.0
358,359,ঢাকা,মানিকগঞ্জ,সাটুরিয়া,15.0,0.0
359,360,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,132.0,0.0
360,361,ঢাকা,মানিকগঞ্জ,ঘিওর,29.0,0.0
361,362,ঢাকা,মানিকগঞ্জ,শিবালয়,99.0,0.0
362,363,ঢাকা,মানিকগঞ্জ,দৌলতপুর,225.0,0.0
363,364,ঢাকা,মানিকগঞ্জ,সিংগাইর,18.0,0.0
364,365,ঢাকা,ঢাকা,সাভার,243.0,3.0
365,366,ঢাকা,ঢাকা,ধামরাই,19.0,0.0
366,367,ঢাকা,ঢাকা,কেরাণীগঞ্জ,0.0,0.0
367,368,ঢাকা,ঢাকা,নবাবগঞ্জ,32.0,0.0
368,369,ঢাকা,ঢাকা,দোহার,12.0,0.0
369,370,ঢাকা,মুন্সিগঞ্জ,মুন্সিগঞ্জ সদর,12.0,0.0
370,371,ঢাকা,মুন্সিগঞ্জ,শ্রীনগর,41.0,0.0
371,372,ঢাকা,মুন্সিগঞ্জ,সিরাজদিখান,12.0,0.0
372,373,ঢাকা,মুন্সিগঞ্জ,লৌহজং,9.0,0.0
373,374,ঢাকা,মুন্সিগঞ্জ,গজারিয়া,15.0,0.0
374,375,ঢাকা,মুন্সিগঞ্জ,টংগীবাড়ি,0.0,0.0
375,376,ঢাকা,রাজবাড়ী,রাজবাড়ী সদর,134.0,0.0
376,377,ঢাকা,রাজবাড়ী,গোয়ালন্দ,16.0,0.0
377,378,ঢাকা,রাজবাড়ী,পাংশা,71.0,0.0
378,379,ঢাকা,রাজবাড়ী,বালিয়াকান্দি,32.0,0.0
379,380,ঢাকা,রাজবাড়ী,কালুখালী,3.0,0.0
380,381,ঢাকা,মাদারীপুর,মাদারীপুর সদর,140.0,0.0
381,382,ঢাকা,মাদারীপুর,শিবচর,226.0,0.0
382,383,ঢাকা,মাদারীপুর,কালকিনি,56.0,0.0
383,384,ঢাকা,মাদারীপুর,রাজৈর,74.0,0.0
384,385,ঢাকা,গোপালগঞ্জ,গোপালগঞ্জ সদর,50.0,2.0
385,386,ঢাকা,গোপালগঞ্জ,কাশিয়ানী,2.0,0.0
386,387,ঢাকা,গোপালগঞ্জ,টুংগীপাড়া,0.0,0.0
387,388,ঢাকা,গোপালগঞ্জ,কোটালীপাড়া,102.0,0.0
388,389,ঢাকা,গোপালগঞ্জ,মুকসুদপুর,28.0,0.0
389,390,ঢাকা,ফরিদপুর,ফরিদপুর সদর,404.0,1.0
390,391,ঢাকা,ফরিদপুর,আলফাডাঙ্গা,28.0,0.0
391,392,ঢাকা,ফরিদপুর,বোয়ালমারী,60.0,0.0
392,393,ঢাকা,ফরিদপুর,সদরপুর,6.0,0.0
393,394,ঢাকা,ফরিদপুর,নগরকান্দা,30.0,0.0
394,395,ঢাকা,ফরিদপুর,ভাঙ্গা,143.0,0.0
395,396,ঢাকা,ফরিদপুর,চরভদ্রাসন,25.0,0.0
396,397,ঢাকা,ফরিদপুর,মধুখালী,84.0,0.0
397,398,ঢাকা,ফরিদপুর,সালথা,36.0,0.0
398,399,রংপুর,পঞ্চগড়,পঞ্চগড় সদর,24.0,0.0
399,400,রংপুর,পঞ্চগড়,দেবীগঞ্জ,9.0,0.0
400,401,রংপুর,পঞ্চগড়,বোদা,7.0,0.0
401,402,রংপুর,পঞ্চগড়,আটোয়ারী,12.0,0.0
402,403,রংপুর,পঞ্চগড়,তেতুলিয়া,7.0,0.0
403,404,রংপুর,দিনাজপুর,নবাবগঞ্জ,32.0,0.0
404,405,রংপুর,দিনাজপুর,বীরগঞ্জ,21.0,0.0
405,406,রংপুর,দিনাজপুর,ঘোড়াঘাট,3.0,0.0
406,407,রংপুর,দিনাজপুর,বিরামপুর,23.0,0.0
407,408,রংপুর,দিনাজপুর,পার্বতীপুর,16.0,0.0
408,409,রংপুর,দিনাজপুর,বোচাগঞ্জ,48.0,0.0
409,410,রংপুর,দিনাজপুর,কাহারোল,9.0,0.0
410,411,রংপুর,দিনাজপুর,ফুলবাড়ী,14.0,0.0
411,412,রংপুর,দিনাজপুর,দিনাজপুর সদর,106.0,0.0
412,413,রংপুর,দিনাজপুর,হাকিমপুর,16.0,0.0
413,414,রংপুর,দিনাজপুর,খানসামা,4.0,0.0
414,415,রংপুর,দিনাজপুর,বিরল,95.0,3.0
415,416,রংপুর,দিনাজপুর,চিরিরবন্দর,7.0,0.0
416,417,রংপুর,লালমনিরহাট,লালমনিরহাট সদর,45.0,0.0
417,418,রংপুর,লালমনিরহাট,কালীগঞ্জ,179.0,0.0
418,419,রংপুর,লালমনিরহাট,হাতীবান্ধা,16.0,0.0
419,420,রংপুর,লালমনিরহাট,পাটগ্রাম,5.0,0.0
420,421,রংপুর,লালমনিরহাট,আদিতমারী,6.0,0.0
421,422,রংপুর,নীলফামারী,সৈয়দপুর,23.0,0.0
422,423,রংপুর,নীলফামারী,ডোমার,22.0,0.0
423,424,রংপুর,নীলফামারী,ডিমলা,13.0,0.0
424,425,রংপুর,নীলফামারী,জলঢাকা,17.0,0.0
425,426,রংপুর,নীলফামারী,কিশোরগঞ্জ,486.0,0.0
426,427,রংপুর,নীলফামারী,নীলফামারী সদর,48.0,0.0
427,428,রংপুর,গাইবান্ধা,সাদুল্লাপুর,1.0,0.0
428,429,রংপুর,গাইবান্ধা,গাইবান্ধা সদর,38.0,0.0
429,430,রংপুর,গাইবান্ধা,পলাশবাড়ী,21.0,0.0
430,431,রংপুর,গাইবান্ধা,সাঘাটা,4.0,0.0
431,432,রংপুর,গাইবান্ধা,গোবিন্দগঞ্জ,20.0,0.0
432,433,রংপুর,গাইবান্ধা,সুন্দরগঞ্জ,20.0,0.0
433,434,রংপুর,গাইবান্ধা,ফুলছড়ি,9.0,1.0
434,435,রংপুর,ঠাকুরগাঁও,ঠাকুরগাঁও সদর,107.0,0.0
435,436,রংপুর,ঠাকুরগাঁও,পীরগঞ্জ,17.0,0.0
436,437,রংপুর,ঠাকুরগাঁও,রাণীশংকৈল,28.0,0.0
437,438,রংপুর,ঠাকুরগাঁও,হরিপুর,26.0,0.0
438,439,রংপুর,ঠাকুরগাঁও,বালিয়াডাঙ্গী,5.0,0.0
439,440,রংপুর,রংপুর,রংপুর সদর,204.0,0.0
440,441,রংপুর,রংপুর,গংগাচড়া,0.0,0.0
441,442,রংপুর,রংপুর,তারাগঞ্জ,1.0,0.0
442,443,রংপুর,রংপুর,বদরগঞ্জ,2.0,0.0
443,444,রংপুর,রংপুর,মিঠাপুকুর,17.0,0.0
444,445,রংপুর,রংপুর,পীরগঞ্জ,17.0,0.0
445,446,রংপুর,রংপুর,কাউনিয়া,7.0,0.0
446,447,রংপুর,রংপুর,পীরগাছা,1.0,0.0
447,448,রংপুর,কুড়িগ্রাম,কুড়িগ্রাম সদর,63.0,0.0
448,449,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,2.0,0.0
449,450,রংপুর,কুড়িগ্রাম,ভুরুঙ্গামারী,1.0,0.0
450,451,রংপুর,কুড়িগ্রাম,ফুলবাড়ী,14.0,0.0
451,452,রংপুর,কুড়িগ্রাম,রাজারহাট,11.0,0.0
452,453,রংপুর,কুড়িগ্রাম,উলিপুর,12.0,0.0
453,454,রংপুর,কুড়িগ্রাম,চিলমারী,9.0,0.0
454,455,রংপুর,কুড়িগ্রাম,রৌমারী,7.0,0.0
455,456,রংপুর,কুড়িগ্রাম,চর রাজিবপুর,1.0,0.0
456,457,ময়মনসিংহ,শেরপুর,শেরপুর সদর,68.0,0.0
457,458,ময়মনসিংহ,শেরপুর,নালিতাবাড়ী,15.0,0.0
458,459,ময়মনসিংহ,শেরপুর,শ্রীবরদী,6.0,0.0
459,460,ময়মনসিংহ,শেরপুর,নকলা,16.0,0.0
460,461,ময়মনসিংহ,শেরপুর,ঝিনাইগাতী,8.0,1.0
461,462,ময়মনসিংহ,ময়মনসিংহ,ফুলবাড়ীয়া,2.0,0.0
462,463,ময়মনসিংহ,ময়মনসিংহ,ত্রিশাল,65.0,0.0
463,464,ময়মনসিংহ,ময়মনসিংহ,ভালুকা,33.0,0.0
464,465,ময়মনসিংহ,ময়মনসিংহ,মুক্তাগাছা,9.0,1.0
465,466,ময়মনসিংহ,ময়মনসিংহ,ময়মনসিংহ সদর,283.0,0.0
466,467,ময়মনসিংহ,ময়মনসিংহ,ধোবাউড়া,7.0,2.0
467,468,ময়মনসিংহ,ময়মনসিংহ,ফুলপুর,8.0,0.0
468,469,ময়মনসিংহ,ময়মনসিংহ,হালুয়াঘাট,7.0,0.0
469,470,ময়মনসিংহ,ময়মনসিংহ,গৌরীপুর,25.0,2.0
470,471,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,5.0,0.0
471,472,ময়মনসিংহ,ময়মনসিংহ,ঈশ্বরগঞ্জ,1.0,0.0
472,473,ময়মনসিংহ,ময়মনসিংহ,নান্দাইল,20.0,0.0
473,474,ময়মনসিংহ,ময়মনসিংহ,তারাকান্দা,4.0,2.0
474,475,ময়মনসিংহ,জামালপুর,জামালপুর সদর,54.0,0.0
475,476,ময়মনসিংহ,জামালপুর,মেলান্দহ,4.0,0.0
476,477,ময়মনসিংহ,জামালপুর,ইসলামপুর,45.0,1.0
477,478,ময়মনসিংহ,জামালপুর,দেওয়ানগঞ্জ,26.0,0.0
478,479,ময়মনসিংহ,জামালপুর,সরিষাবাড়ী,13.0,0.0
479,480,ময়মনসিংহ,জামালপুর,মাদারগঞ্জ,5.0,0.0
480,481,ময়মনসিংহ,জামালপুর,বকশীগঞ্জ,2.0,0.0
481,482,ময়মনসিংহ,নেত্রকোণা,বারহাট্টা,4.0,0.0
482,483,ময়মনসিংহ,নেত্রকোণা,দুর্গাপুর,63.0,0.0
483,484,ময়মনসিংহ,নেত্রকোণা,কেন্দুয়া,122.0,0.0
484,485,ময়মনসিংহ,নেত্রকোণা,আটপাড়া,3.0,2.0
485,486,ময়মনসিংহ,নেত্রকোণা,মদন,16.0,0.0
486,487,ময়মনসিংহ,নেত্রকোণা,খালিয়াজুরী,1.0,0.0
487,488,ময়মনসিংহ,নেত্রকোণা,কলমাকান্দা,7.0,0.0
488,489,ময়মনসিংহ,নেত্রকোণা,মোহনগঞ্জ,8.0,0.0
489,490,ময়মনসিংহ,নেত্রকোণা,পূর্বধলা,1.0,2.0
490,491,ময়মনসিংহ,নেত্রকোণা,নেত্রকোণা সদর,46.0,0.0
