serial,id,division,district,upazilaBangla,2019,2020
72,73,চট্টগ্রাম,চট্টগ্রাম,চন্দনাইশ,40.0,0.0
73,74,চট্টগ্রাম,চট্টগ্রাম,সাতকানিয়া,25.0,0.0
74,75,চট্টগ্রাম,চট্টগ্রাম,লোহাগাড়া,26.0,0.0
75,76,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,26.0,3.0
76,77,চট্টগ্রাম,চট্টগ্রাম,ফটিকছড়ি,14.0,0.0
77,78,চট্টগ্রাম,চট্টগ্রাম,রাউজান,18.0,0.0
78,79,চট্টগ্রাম,চট্টগ্রাম,কর্ণফুলী,37.0,1.0
79,80,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,57.0,0.0
80,81,চট্টগ্রাম,কক্সবাজার,চকরিয়া,48.0,0.0
81,82,চট্টগ্রাম,কক্সবাজার,কুতুবদিয়া,3.0,0.0
82,83,চট্টগ্রাম,কক্সবাজার,উখিয়া,30.0,0.0
83,84,চট্টগ্রাম,কক্সবাজার,মহেশখালী,21.0,0.0
84,85,চট্টগ্রাম,কক্সবাজার,পেকুয়া,8.0,0.0
85,86,চট্টগ্রাম,কক্সবাজার,রামু,29.0,0.0
86,87,চট্টগ্রাম,কক্সবাজার,টেকনাফ,67.0,0.0
87,88,চট্টগ্রাম,খাগড়াছড়ি,খাগড়াছড়ি সদর,47.0,0.0
88,89,চট্টগ্রাম,খাগড়াছড়ি,দিঘীনালা,0.0,0.0
89,90,চট্টগ্রাম,খাগড়াছড়ি,পানছড়ি,4.0,0.0
90,91,চট্টগ্রাম,খাগড়াছড়ি,লক্ষীছড়ি,0.0,0.0
91,92,চট্টগ্রাম,খাগড়াছড়ি,মহালছড়ি,4.0,0.0
92,93,চট্টগ্রাম,খাগড়াছড়ি,মানিকছড়ি,3.0,0.0
93,94,চট্টগ্রাম,খাগড়াছড়ি,রামগড়,5.0,0.0
94,95,চট্টগ্রাম,খাগড়াছড়ি,মাটিরাঙ্গা,5.0,0.0
95,96,চট্টগ্রাম,খাগড়াছড়ি,গুইমারা,3.0,0.0
96,97,চট্টগ্রাম,বান্দরবান,বান্দরবান সদর,50.0,0.0
97,98,চট্টগ্রাম,বান্দরবান,আলীকদম,5.0,0.0
98,99,চট্টগ্রাম,বান্দরবান,নাইক্ষ্যংছড়ি,3.0,0.0
99,100,চট্টগ্রাম,বান্দরবান,রোয়াংছড়ি,2.0,0.0
100,101,চট্টগ্রাম,বান্দরবান,লামা,24.0,0.0
101,102,চট্টগ্রাম,বান্দরবান,রুমা,92.0,0.0
102,103,চট্টগ্রাম,বান্দরবান,থানচি,0.0,0.0
