id,20191,20192,20193,20194,20195,20196,20197,20198,20199,201910,201911,201912,2019,2020,20201,20202,20203
Dcase,82.0,115.0,68.0,63.0,29.0,262.0,1083.0,24657.0,7478.0,1604.0,640.0,439.0,36524.0,262.0,128.0,81.0,53.0
